"Categoria_del_Menu","Elementos_del_Menu","Tamano_por_porcion","Energia ","Proteinas","Grasa_total ","Grasas_saturadas ","Colesterol","Carbohidratos_totales ","Azucares_totales ","Sodio "
"Menu_MacCafe","Double_Dark_Hot_Chocolate","163","25578","687","632","449","1483","4129","3181","7026"
"Menu_MacCafe","English_Breakfast_S","279","993","56","28","28","279","28","14","1384"
"Menu_MacCafe","English_Breakfast_R","330","1175","66","33","33","33","33","165","1637"
"Menu_MacCafe","English_Breakfast_L","456","1623","91","46","46","456","46","228","2262"
"Menu_MacCafe","Moroccon_Mint_Green_Tea_S","279","625","33","28","28","279","279","14","1495"
"Menu_MacCafe","Moroccon_Mint_Green_Tea_R","330","739","4","33","33","33","33","165","1769"
"Menu_MacCafe","Moroccon_Mint_Green_Tea_L","456","1021","55","46","46","456","456","228","2444"
"Menu_MacCafe","Strawberry_Green_Tea_S","279","703","47","28","28","279","279","14","1454"
"Menu_MacCafe","Strawberry_Green_Tea_R","330","832","56","33","33","33","33","165","1719"
"Menu_MacCafe","Strawberry_Green Tea_L","456","1149","78","46","46","456","456","228","2376"
"Menu_MacCafe","Lemon_Ice_Tea","245","12186","27","17","17","165","3059","2653","1026"
"Menu_MacCafe","Strawberry_Ice_Tea","236.5 ","9495","24","16","16","157","2417","211","972"
"Menu_MacCafe","Green_Apple_Ice_Tea","236.5 ","9494","24","16","16","157","2417","2075","961"
"Menu_MacCafe","Iced_Coffee","291.5 ","18534","436","445","326","1213","3188","2695","7835"
"Menu_MacCafe","Cold_Coffee_Frappe","296.5 ","33117","498","1473","1391","918","4539","3557","18893"
"Menu_MacCafe","Mocha_Frappe","320.5 ","39798","549","1501","140","942","6093","4755","23332"
"Menu_MacCafe","Chocolate_Oreo_Frappe","334","48111","603","1889","1591","936","7251","5514","3326"
"Menu_MacCafe","Strawberry_Shake","259","25551","367","744","668","839","4407","3742","13997"
"Menu_MacCafe","Chocolate_Shake","259","2709","416","77","674","839","4676","3778","17846"
"Menu_MacCafe","Mango_Smoothie","280","23144","321","363","265","989","4625","3887","8545"
"Menu_MacCafe","Mixed_Berry_Smoothie","290","23543","333","359","264","999","4716","430","9207"
"Menu_MacCafe","Raw_Mango_Cooler","310","10238","14","4","4","4","2518","2106","10268"
"Menu_MacCafe","Mix_Berry_Cooler","310","10385","16","4","4","4","2556","2125","2382"
"Menu_MacCafe","Iced_Americano","266.5 ","15085","359","357","262","976","2601","2158","6275"
"Menu_MacCafe","American_Mud_Pie_Shake","317","39819","567","1277","1138","1089","6475","534","18573"
"Menu_MacCafe","Soft_serve_cone","81.29 ","8573","199","182","131","475","1523","1068","4078"
"Menu_MacCafe","McSwirl_ChocoDip","93.29 ","16014","271","714","525","571","2092","1539","5131"
"Menu_MacCafe","Regular_Soft_Serve:_Hot_Fudge","91.79 ","12164","225","402","301","585","1911","1707","6556"
"Menu_MacCafe","Medium_Soft_Serve_Hot Fudge","132.08 ","19745","349","687","516","855","3042","2701","11039"
"Menu_MacCafe","Regular_Soft_Serve_Strawberry","91.79 ","10099","154","177","13","485","1978","1766","3451"
"Menu_MacCafe","Medium_Soft_Serve_Strawberry","132.08 ","15614","205","236","174","655","3177","282","4828"
"Menu_MacCafe","Regular_Soft_Serve_Brownie_with_Hot_Fudge","110.79 ","20526","32","545","365","604","3526","2075","10089"
"Menu_MacCafe","Medium_Soft_Serve_Brownie_with_Hot_Fudge","155.08 ","31139","465","746","471","778","5524","2794","1464"
"Menu_MacCafe","Regular_Blackforest","125.79 ","23789","322","547","366","619","4342","2779","10447"
"Menu_MacCafe","Medium_Blackforest","200.08 ","42995","542","976","647","923","7904","4845","1882"
"Cartas_de_postres","Small_McFlurry_Oreo","86.79 ","11636","205","37","225","48","1869","1449","8073"
"Cartas_de_postres","Regular_McFlurry_Oreo","147.38 ","20939","358","681","407","80","3342","2535","1509"
"Cartas_de_postres","American_Triple_Cheese_Chicken","195","45794","2443","2265","1156","7123","3745","764","139617"
"Cartas_de_postres","American_Triple_Cheese_Veg","207","52469","1954","2316","1478","4874","5624","79","117427"
"Cartas_de_postres","Cheese_Lava_Burger","240","67106","1499","3348","1412","3321","7425","1627","115399"
"Cartas_de_postres","Chicken_Cheese_Lava_Burger","307","83436","2737","4518","170","7311","7603","1675","174504"
"Cartas_de_postres","Chunky_Chipotle_American_Burger_Chicken","301","64136","3947","3151","954","11037","4624","916","190627"
"Cartas_de_postres","McSpicy_Premium_Chicken_Burger","264.5 ","62225","3149","3465","1555","30261","436","607","161488"
"Cartas_de_postres","McSpicy_Premium_Veg_Burger","212.5 ","63471","2244","3921","2046","4368","460","757","144687"
"Cartas_de_postres","Piri_piri_Mc_Spicy_Veg_Burger","211","51798","1197","2453","601","81","5887","1287","117089"
"Cartas_de_postres","Cheesy_Veg_Nuggets_ 6PC","90","25229","848","1309","753","2003","236","131","42817"
"Cartas_de_postres","Cheesy_Veg_Nuggets_9PC","135","37843","1272","1963","113","3005","354","196","64225"
"Menu_de_bebidas","Coke_Float","286.79 ","13876","152","175","128","47","2922","2823","4453"
"Menu_de_bebidas","Fanta_Float","286.79 ","15156","152","175","128","47","3242","3143","6661"
"Menu_de_bebidas","Sprite_Float","286.79 ","14516","152","175","128","47","3082","2983","4709"
"Menu_de_condimentos","Mustard_diping_sauce","25","8118","52","557","178","29","724","666","22132"
"Menu_de_condimentos","BBQ_diping_sauce","25","5489","26","49","15","25","1236","765","11323"
"Menu_de_condimentos","Chilli_Sauce","10","807","3","1","1","1","199","153","6524"
"Menu_de_condimentos","Piri_Piri_Mix","5","1713","51","36","8","5","25","66","41471"
"Menu_de_condimentos","Cheese_Slice","14","5103","306","399","289","1343","72","54","17895"
"Menu_de_condimentos","Sweet_Corn","40","4508","147","10","22","20","755","254","4"
"Menu_de_condimentos","Mixed_Fruit_Beverage","180","7225","65","2","2","1","180","1683","108"
