"Categoria del Menu","Elementos del Men","Tamaño por porción","Energia (kCal)","Proteinas(g)","Grasa total (g)","Grasas saturadas (g)","Colesterol(mg)","Carbohidratos totales (g)","Azúcares totales (g)","Sodio (mg)"
"Menu MacCafe","Double Dark Hot Chocolate","163 ml","25578","687","632","449","1483","4129","3181","7026"
"Menu MacCafe","English Breakfast (S)","279 ml","993","56","28","28","279","28","14","1384"
"Menu MacCafe","English Breakfast (R)","330 ml","1175","66","33","33","33","33","165","1637"
"Menu MacCafe","English Breakfast (L)","456 ml","1623","91","46","46","456","46","228","2262"
"Menu MacCafe","Moroccon Mint Green Tea (S)","279 ml","625","33","28","28","279","279","14","1495"
"Menu MacCafe","Moroccon Mint Green Tea (R)","330 ml","739","4","33","33","33","33","165","1769"
"Menu MacCafe","Moroccon Mint Green Tea (L)","456 ml","1021","55","46","46","456","456","228","2444"
"Menu MacCafe","Strawberry Green Tea (S)","279 ml","703","47","28","28","279","279","14","1454"
"Menu MacCafe","Strawberry Green Tea (R)","330 ml","832","56","33","33","33","33","165","1719"
"Menu MacCafe","Strawberry Green Tea (L)","456 ml","1149","78","46","46","456","456","228","2376"
"Menu MacCafe","Lemon Ice Tea","245 ml","12186","27","17","17","165","3059","2653","1026"
"Menu MacCafe","Strawberry Ice Tea","236.5 ml","9495","24","16","16","157","2417","211","972"
"Menu MacCafe","Green Apple Ice Tea","236.5 ml","9494","24","16","16","157","2417","2075","961"
"Menu MacCafe","Iced Coffee","291.5 ml","18534","436","445","326","1213","3188","2695","7835"
"Menu MacCafe","Cold Coffee Frappe","296.5 ml","33117","498","1473","1391","918","4539","3557","18893"
"Menu MacCafe","Mocha Frappe","320.5 ml","39798","549","1501","140","942","6093","4755","23332"
"Menu MacCafe","Chocolate Oreo Frappe","334 ml","48111","603","1889","1591","936","7251","5514","3326"
"Menu MacCafe","Strawberry Shake","259 ml","25551","367","744","668","839","4407","3742","13997"
"Menu MacCafe","Chocolate Shake","259 ml","2709","416","77","674","839","4676","3778","17846"
"Menu MacCafe","Mango Smoothie","280 ml","23144","321","363","265","989","4625","3887","8545"
"Menu MacCafe","Mixed Berry Smoothie","290 ml","23543","333","359","264","999","4716","430","9207"
"Menu MacCafe","Raw Mango Cooler","310 ml","10238","14","4","4","4","2518","2106","10268"
"Menu MacCafe","Mix Berry Cooler","310 ml","10385","16","4","4","4","2556","2125","2382"
"Menu MacCafe","Iced Americano","266.5 ml","15085","359","357","262","976","2601","2158","6275"
"Menu MacCafe","American Mud Pie Shake","317 ml","39819","567","1277","1138","1089","6475","534","18573"
"Menu MacCafe","Soft serve cone","81.29 g","8573","199","182","131","475","1523","1068","4078"
"Menu MacCafe","McSwirl ChocoDip","93.29 g","16014","271","714","525","571","2092","1539","5131"
"Menu MacCafe","Regular Soft Serve: Hot Fudge","91.79 g","12164","225","402","301","585","1911","1707","6556"
"Menu MacCafe","Medium Soft Serve: Hot Fudge","132.08 g","19745","349","687","516","855","3042","2701","11039"
